core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.3.over_current_info.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.3.sas1.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.3.sas2.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.3.time_stamp, str, 1
core.marvi_hk_data, MarviHkData, djm.3.djm_version, str, 1
core.marvi_hk_data, MarviHkData, djm.3.build_time, str, 1
core.marvi_hk_data, MarviHkData, djm.3.build_date, str, 1
