djm, Djm, djm.3.pulse_status.1, int, 1
djm, Djm, djm.3.pulse_status.2, int, 1
djm, Djm, djm.3.pulse_status.3, int, 1
djm, Djm, djm.3.pulse_status.4, int, 1
djm, Djm, djm.3.sap_panel_v, float, 1
djm, Djm, djm.3.sap_panel_i, float, 1
djm, Djm, djm.3.i2c_sas_power, float, 1
djm, Djm, djm.3.tmp, float, 1
djm, Djm, djm.3.ads1115_temp.1, float, 1
djm, Djm, djm.3.ads1115_temp.2, float, 1
djm, Djm, djm.3.ads1115_temp.3, float, 1
djm, Djm, djm.3.ads1115_temp.4, float, 1
djm, Djm, djm.3.ads1115_temp.5, float, 1
djm, Djm, djm.3.ads1115_temp.6, float, 1
djm, Djm, djm.3.ads1115_temp.7, float, 1
djm, Djm, djm.3.ads1115_temp.8, float, 1
djm, Djm, djm.3.ads1115_temp.9, float, 1
djm, Djm, djm.3.ads1115_temp.10, float, 1
djm, I2c, djm.3.i2c_current.unit_type, str, 1
djm, I2c, djm.3.i2c_current.cpu_i2c_origin, float, 1
djm, I2c, djm.3.i2c_current.djm_15, float, 1
djm, I2c, djm.3.i2c_current.temp_sensor, float, 1
djm, I2c, djm.3.i2c_current.mtq, float, 1
djm, I2c, djm.3.i2c_current.sas1, float, 1
djm, I2c, djm.3.i2c_current.sas2, float, 1
djm, I2c, djm.3.i2c_current.djm_i2c, float, 1
djm, I2c, djm.3.i2c_current.heater1, float, 1
djm, I2c, djm.3.i2c_current.heater2, float, 1
djm, I2c, djm.3.i2c_current.heater3, float, 1
djm, I2c, djm.3.i2c_current.heater4, float, 1
djm, I2c, djm.3.i2c_current.hdrm1, float, 1
djm, I2c, djm.3.i2c_current.hdrm2, float, 1
djm, I2c, djm.3.i2c_voltage.unit_type, str, 1
djm, I2c, djm.3.i2c_voltage.cpu_i2c_origin, float, 1
djm, I2c, djm.3.i2c_voltage.djm_15, float, 1
djm, I2c, djm.3.i2c_voltage.temp_sensor, float, 1
djm, I2c, djm.3.i2c_voltage.mtq, float, 1
djm, I2c, djm.3.i2c_voltage.sas1, float, 1
djm, I2c, djm.3.i2c_voltage.sas2, float, 1
djm, I2c, djm.3.i2c_voltage.djm_i2c, float, 1
djm, I2c, djm.3.i2c_voltage.heater1, float, 1
djm, I2c, djm.3.i2c_voltage.heater2, float, 1
djm, I2c, djm.3.i2c_voltage.heater3, float, 1
djm, I2c, djm.3.i2c_voltage.heater4, float, 1
djm, I2c, djm.3.i2c_voltage.hdrm1, float, 1
djm, I2c, djm.3.i2c_voltage.hdrm2, float, 1
djm, I2c, djm.3.over_current_info.unit_type, str, 1
djm, I2c, djm.3.over_current_info.cpu_i2c_origin, float, 1
djm, I2c, djm.3.over_current_info.djm_15, float, 1
